ID,"телефоны, планшеты",автопром,космос,школа
44,0.0,0.0,0.0,0.0
45,0.30952380952380953,0.6904761904761905,0.0,0.0
46,0.0,0.26136363636363635,0.7386363636363636,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.5149253731343284,0.4850746268656716,0.0
49,0.1351107094441934,0.2260506100316313,0.6388386805241754,0.0
50,0.0,0.0,0.0,1.0
51,0.0,0.0,0.0,1.0
52,0.0,1.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,0.0,1.0,0.0,0.0
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.4876325088339223,0.0,0.5123674911660777,0.0
58,0.0,1.0,0.0,0.0
59,1.0,0.0,0.0,0.0
60,0.0,1.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.26136363636363635,0.7386363636363636,0.0
65,1.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.2708946772366931,0.3021517553793885,0.42695356738391843,0.0
69,0.0,1.0,0.0,0.0
70,0.4727272727272727,0.5272727272727273,0.0,0.0
71,0.7289719626168224,0.2710280373831776,0.0,0.0
72,0.0,1.0,0.0,0.0
73,0.1351107094441934,0.2260506100316313,0.6388386805241754,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.30455635491606714,0.0,0.0,0.6954436450839329
77,0.0,0.0,0.0,1.0
78,1.0,0.0,0.0,0.0
79,0.3070199907019991,0.3424453742445374,0.0,0.3505346350534635
80,0.4727272727272727,0.5272727272727273,0.0,0.0
81,0.2708946772366931,0.3021517553793885,0.42695356738391843,0.0
82,0.0,0.0,0.0,1.0
83,0.3881856540084388,0.0,0.6118143459915611,0.0
84,1.0,0.0,0.0,0.0
85,0.0,1.0,0.0,0.0
86,1.0,0.0,0.0,0.0
87,0.4727272727272727,0.5272727272727273,0.0,0.0
88,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,1.0
91,0.30455635491606714,0.0,0.0,0.6954436450839329
92,0.0,0.0,0.0,1.0
93,0.6419753086419753,0.3580246913580247,0.0,0.0
94,0.0,1.0,0.0,0.0
95,0.0,0.19629057187017002,0.0,0.8037094281298299
96,0.0,1.0,0.0,0.0
97,0.12824297032779244,0.28608047226969086,0.0,0.5856765574025167
98,0.412793373216751,0.15347445927289463,0.4337321675103543,0.0
99,0.0,1.0,0.0,0.0
100,0.0,0.0,0.0,1.0
101,0.46691176470588236,0.0,0.0,0.5330882352941176
102,1.0,0.0,0.0,0.0
103,1.0,0.0,0.0,0.0
104,0.6419753086419753,0.3580246913580247,0.0,0.0
105,0.30952380952380953,0.6904761904761905,0.0,0.0
106,0.24083769633507854,0.0,0.7591623036649214,0.0
107,0.4727272727272727,0.5272727272727273,0.0,0.0
108,0.0,0.3281653746770026,0.0,0.6718346253229974
109,0.6864864864864865,0.0,0.0,0.31351351351351353
110,0.5678092399403875,0.0,0.0,0.43219076005961254
111,0.22733218588640275,0.25356282271944924,0.0,0.519104991394148
112,0.3881856540084388,0.0,0.6118143459915611,0.0
113,1.0,0.0,0.0,0.0
114,0.24083769633507854,0.0,0.7591623036649214,0.0
115,0.0,0.3281653746770026,0.0,0.6718346253229974
116,0.3704493184495428,0.20659673528916814,0.0,0.42295394626128907
117,0.18984126984126984,0.21174603174603177,0.5984126984126984,0.0
118,0.0,1.0,0.0,0.0
119,1.0,0.0,0.0,0.0
120,0.22733218588640275,0.25356282271944924,0.0,0.519104991394148
121,0.4876325088339223,0.0,0.5123674911660777,0.0
122,1.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,1.0,0.0,0.0
125,0.0,1.0,0.0,0.0
126,0.3881856540084388,0.0,0.6118143459915611,0.0
127,0.0,1.0,0.0,0.0
128,0.4727272727272727,0.5272727272727273,0.0,0.0
129,0.7819548872180451,0.2180451127819549,0.0,0.0
130,0.0,1.0,0.0,0.0
131,0.22733218588640275,0.25356282271944924,0.0,0.519104991394148
132,0.0,1.0,0.0,0.0
133,0.0,0.0,0.0,1.0
134,0.0,0.0,0.0,0.0
135,0.0,0.12625345781466113,0.3568032503457815,0.5169432918395575
136,0.0,0.0,0.0,0.0
137,1.0,0.0,0.0,0.0
138,0.4727272727272727,0.5272727272727273,0.0,0.0
139,1.0,0.0,0.0,0.0
140,0.11876861966236346,0.13247269116186694,0.7487586891757696,0.0
141,0.0,1.0,0.0,0.0
142,0.0,1.0,0.0,0.0
143,0.0,1.0,0.0,0.0
144,0.18984126984126984,0.21174603174603177,0.5984126984126984,0.0
145,0.7819548872180451,0.2180451127819549,0.0,0.0
146,0.0,0.0,0.0,0.0
147,0.0,0.0,1.0,0.0
148,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0
150,1.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0
152,0.30952380952380953,0.6904761904761905,0.0,0.0
153,0.22733218588640275,0.25356282271944924,0.0,0.519104991394148
154,0.0,0.26136363636363635,0.7386363636363636,0.0
155,0.30952380952380953,0.6904761904761905,0.0,0.0
156,0.0,0.0,0.0,1.0
157,0.4727272727272727,0.5272727272727273,0.0,0.0
158,0.0,1.0,0.0,0.0
159,1.0,0.0,0.0,0.0
160,0.30455635491606714,0.0,0.0,0.6954436450839329
161,0.0,0.0,1.0,0.0
162,0.0,0.0,0.0,0.0
163,0.46691176470588236,0.0,0.0,0.5330882352941176
164,0.15666753995284255,0.3494891275871103,0.49384333246004714,0.0
165,0.22733218588640275,0.25356282271944924,0.0,0.519104991394148
166,0.0,1.0,0.0,0.0
167,0.0,0.41441441441441446,0.5855855855855856,0.0
168,0.0,1.0,0.0,0.0
169,0.0,0.26136363636363635,0.7386363636363636,0.0
170,0.0,0.0,0.0,1.0
171,0.30455635491606714,0.0,0.0,0.6954436450839329
172,0.0,0.0,0.0,0.0
173,1.0,0.0,0.0,0.0
174,0.6419753086419753,0.3580246913580247,0.0,0.0
175,0.10429907876883525,0.0,0.6575376704991788,0.238163250731986
176,0.0,0.0,0.0,0.0
177,0.31410247572935995,0.11678168969424922,0.3300352100054869,0.2390806245709039
178,1.0,0.0,0.0,0.0
179,0.23008849557522124,0.7699115044247787,0.0,0.0
180,0.0,0.0,0.0,1.0
181,0.09176688654018804,0.4094214937946851,0.28926518583320143,0.20954643383192545
182,0.0,0.0,0.0,0.0
183,1.0,0.0,0.0,0.0
184,1.0,0.0,0.0,0.0
185,0.5678092399403875,0.0,0.0,0.43219076005961254
186,0.0,0.0,0.5799086757990868,0.4200913242009132
187,0.24083769633507854,0.0,0.7591623036649214,0.0
188,0.4727272727272727,0.5272727272727273,0.0,0.0
189,1.0,0.0,0.0,0.0
190,0.0,0.26136363636363635,0.7386363636363636,0.0
191,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0
193,0.18984126984126984,0.21174603174603177,0.5984126984126984,0.0
194,0.30952380952380953,0.6904761904761905,0.0,0.0
195,0.0,0.0,0.0,0.0
196,0.7819548872180451,0.2180451127819549,0.0,0.0
197,0.5678092399403875,0.0,0.0,0.43219076005961254
198,1.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0
200,0.30952380952380953,0.6904761904761905,0.0,0.0
201,0.1813488576449912,0.4045474516695958,0.0,0.414103690685413
202,0.4727272727272727,0.5272727272727273,0.0,0.0
203,0.1813488576449912,0.4045474516695958,0.0,0.414103690685413
204,0.09867909867909867,0.0,0.0,0.9013209013209014
205,0.31410247572935995,0.11678168969424922,0.3300352100054869,0.2390806245709039
206,0.0,1.0,0.0,0.0
207,0.30952380952380953,0.6904761904761905,0.0,0.0
208,0.30455635491606714,0.0,0.0,0.6954436450839329
209,0.15666753995284255,0.3494891275871103,0.49384333246004714,0.0
210,1.0,0.0,0.0,0.0
211,0.22733218588640275,0.25356282271944924,0.0,0.519104991394148
212,0.0,1.0,0.0,0.0
213,0.0,0.26136363636363635,0.7386363636363636,0.0
214,0.0,0.0,0.0,0.0
215,0.4727272727272727,0.5272727272727273,0.0,0.0
216,0.0,0.0,1.0,0.0
217,0.42630547139547315,0.23774728212439852,0.3359472464801283,0.0
218,0.0,1.0,0.0,0.0
219,0.0,1.0,0.0,0.0
220,0.0,1.0,0.0,0.0
221,0.0,0.0,0.0,0.0
222,1.0,0.0,0.0,0.0
223,0.0,0.0,1.0,0.0
224,0.0,1.0,0.0,0.0
225,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0
227,0.0,1.0,0.0,0.0
228,0.0,1.0,0.0,0.0
229,0.11538806312568466,0.257404140818835,0.36372324246139726,0.26348455359408307
230,0.0,0.0,0.0,0.0
231,0.0,1.0,0.0,0.0
232,0.0,0.0,0.0,1.0
233,0.0,0.26136363636363635,0.7386363636363636,0.0
234,0.0,0.0,0.0,0.0
235,0.4727272727272727,0.5272727272727273,0.0,0.0
236,0.0,0.0,0.0,1.0
237,0.0,0.26136363636363635,0.7386363636363636,0.0
238,0.0,0.0,0.0,0.0
239,0.0,0.0,0.4083601286173633,0.5916398713826366
240,0.0,0.0,0.0,0.0
241,0.0,0.0,1.0,0.0
242,0.0,0.0,0.0,1.0
243,0.22733218588640275,0.25356282271944924,0.0,0.519104991394148
244,0.099716132149544,0.44488735882104247,0.0,0.45539650902941353
