ID,банки,"налоги, льготы, жкх",сельское хозяйство,"экспорт продуктов, нефть, газ",курсы валют,европа,пенсии,экономические мероприятия
88,0.0,0.07638801463842064,0.0,0.17068384223236846,0.24918015470286942,0.0,0.0,0.5037479884263416
89,0.6320446329111838,0.09187096849965841,0.0,0.05131986335603629,0.22476453523312154,0.0,0.0,0.0
90,0.0,0.0,0.0,0.5067750677506775,0.49322493224932246,0.0,0.0,0.0
91,0.5864372519535582,0.12786254837675945,0.0,0.07142504991742057,0.0,0.0,0.21427514975226172,0.0
92,0.40854120282280976,0.2226884425222693,0.0,0.14927467026218053,0.07264168445913596,0.0,0.0,0.14685399993360462
93,0.0,0.1319407152829986,0.42584040382343463,0.0,0.0,0.0,0.4422188808935668,0.0
94,0.0,0.20893745482375953,0.6743483991666313,0.11671414600960926,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.4065217391304348,0.5934782608695652,0.0,0.0,0.0
96,0.0,0.15309880716007093,0.0,0.34208890977158707,0.0,0.0,0.0,0.504812283068342
97,0.0,0.1411906677393403,0.22784737386507295,0.3943512239972417,0.0,0.0,0.23661073439834504,0.0
98,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.20503553546784226,0.0,0.0,0.11147208256273063,0.0,0.45813800965342044,0.2253543723160068
100,0.0,0.20478874381639767,0.0,0.11439664260806097,0.0,0.0,0.3431899278241829,0.33762468575135834
101,0.6253108119694761,0.0,0.0,0.15231930035153907,0.22236988767898483,0.0,0.0,0.0
102,0.0,0.24967965334089776,0.0,0.13947306642669197,0.6108472802324103,0.0,0.0,0.0
103,0.0,0.5218995886905229,0.0,0.19435821068450485,0.2837422006249723,0.0,0.0,0.0
104,0.3795822686353014,0.1655227597655577,0.0,0.1849246949761725,0.2699702766229684,0.0,0.0,0.0
105,0.3474556990527684,0.1515134687672728,0.0,0.25390993392317696,0.24712089825678182,0.0,0.0,0.0
106,0.1563334608267047,0.0681716402949237,0.55006217698285,0.11424368291182269,0.11118903898369907,0.0,0.0,0.0
107,0.0,0.0,0.0,0.1445131375579598,0.4219474497681607,0.0,0.43353941267387947,0.0
108,0.0,0.0760721805073291,0.0,0.16997813226912364,0.2481498936335334,0.0,0.2549671984036855,0.2508325951863284
109,0.0,0.3781017966375563,0.3050821374985573,0.0,0.0,0.0,0.31681606586388644,0.0
110,0.0,0.3409799056228856,0.0,0.38094824620871837,0.278071848168396,0.0,0.0,0.0
111,0.4140900516689903,0.0,0.2913967030263266,0.0,0.294513245304683,0.0,0.0,0.0
112,0.0,0.2646830087724756,0.0,0.5914162467077293,0.1439007445197951,0.0,0.0,0.0
113,0.0,0.10210581379012588,0.0,0.22814852165559266,0.33307244070575825,0.0,0.0,0.3366732238485232
114,0.6963470319634703,0.3036529680365297,0.0,0.0,0.0,0.0,0.0,0.0
115,0.4339492391966272,0.09461516198877283,0.0,0.31711675172061227,0.15431884709398777,0.0,0.0,0.0
116,0.0,0.17069130388586776,0.5509084411131181,0.0,0.27840025500101423,0.0,0.0,0.0
117,0.2001472252296591,0.08727731460834316,0.0,0.04875381127389133,0.07117535014851514,0.3024952381311894,0.146261433821674,0.14388962678672793
118,0.0,0.08544229558266246,0.27576613918213805,0.06363833981126263,0.09290516988489142,0.1974234860053943,0.1909150194337879,0.09390955009986324
119,0.0,0.4212093959620795,0.0,0.23529096294585028,0.3434996410920702,0.0,0.0,0.0
120,0.0,0.11407501101110144,0.0,0.5097857634928343,0.0,0.0,0.0,0.3761392254960642
121,0.2923858728763932,0.31874853354557625,0.0,0.071222199803224,0.10397679436513449,0.0,0.213666599409672,0.0
122,0.0,0.170373582361031,0.0,0.06344803738719713,0.18525469739791248,0.39366623197056405,0.0,0.18725745088329535
123,0.0,0.1024669664101677,0.33071348947196977,0.22895549271136373,0.0,0.0,0.0,0.3378640514064989
124,0.0,0.3820864864864865,0.49327567567567565,0.0,0.12463783783783783,0.0,0.0,0.0
125,0.0,0.2312420589952268,0.0,0.0,0.0,0.0,0.3875210329315614,0.38123690807321176
126,0.0,0.17464916902150487,0.0,0.09756043324461353,0.1424277982662005,0.0,0.5853625994676812,0.0
127,0.24799712292003426,0.05407150384977797,0.1745164939066908,0.06040955558308528,0.08819149023626888,0.37481383350414277,0.0,0.0
