ID,спортивные праздники,спортивные соревнования,"хоккей, футбол",международные мероприятия
102,0.507603980797802,0.3943692466198308,0.09802677258236711,0.0
103,0.0,0.0,1.0,0.0
104,0.0,0.0,1.0,0.0
105,0.0,0.0,0.11054421768707483,0.8894557823129252
106,0.0,0.0,1.0,0.0
107,0.0,0.50143815915628,0.49856184084372,0.0
108,0.0,0.0,0.19908116385911176,0.8009188361408882
109,1.0,0.0,0.0,0.0
110,0.0,0.0,1.0,0.0
111,0.0,0.0,1.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,1.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,1.0,0.0
116,0.0,0.0,1.0,0.0
117,0.0,0.2859486057955167,0.14215418261344995,0.5718972115910333
118,0.0,0.0,0.0,1.0
119,0.8381410256410257,0.0,0.16185897435897434,0.0
120,1.0,0.0,0.0,0.0
121,1.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.8381410256410257,0.0,0.16185897435897434,0.0
125,0.0,0.0,1.0,0.0
126,0.0,0.0,1.0,0.0
127,0.5627705627705628,0.43722943722943725,0.0,0.0
128,0.0,0.5728368017524644,0.4271631982475356,0.0
129,0.0,1.0,0.0,0.0
130,0.8381410256410257,0.0,0.16185897435897434,0.0
131,0.0,0.8009188361408882,0.19908116385911176,0.0
132,0.6331719128329298,0.0,0.36682808716707027,0.0
133,0.4420978025157764,0.17173799251574393,0.042688219936991796,0.34347598503148785
134,0.0,1.0,0.0,0.0
135,0.0,1.0,0.0,0.0
136,0.0,0.6679438058748404,0.3320561941251596,0.0
137,0.507603980797802,0.3943692466198308,0.09802677258236711,0.0
138,0.0,0.0,1.0,0.0
139,0.0,0.0,1.0,0.0
140,0.0,0.0,1.0,0.0
141,0.3652234636871508,0.0,0.6347765363128491,0.0
142,0.0,0.0,0.3320561941251596,0.6679438058748404
143,0.6331719128329298,0.0,0.36682808716707027,0.0
144,0.0,0.50143815915628,0.49856184084372,0.0
145,0.6733916695141458,0.2615867639266489,0.06502156655920528,0.0
146,0.0,0.0,0.0,0.0
147,0.0,0.8009188361408882,0.19908116385911176,0.0
148,0.0,0.0,1.0,0.0
149,0.0,0.0,0.27158774373259054,0.7284122562674095
150,0.0,0.0,0.11054421768707483,0.8894557823129252
151,0.0,0.0,0.0,1.0
152,0.0,0.22264793529161345,0.33205619412515963,0.4452958705832269
153,0.0,0.0,0.11054421768707483,0.8894557823129252
154,0.0,0.8009188361408882,0.19908116385911176,0.0
155,0.0,0.0,1.0,0.0
156,0.0,0.0,1.0,0.0
157,0.0,0.0,0.0,0.0
158,0.0,0.0,0.11054421768707483,0.8894557823129252
159,0.0,0.6679438058748404,0.3320561941251596,0.0
160,0.0,0.0,1.0,0.0
161,0.0,0.0,0.0,0.0
162,0.0,1.0,0.0,0.0
163,0.0,0.8009188361408882,0.19908116385911176,0.0
164,0.0,1.0,0.0,0.0
165,0.7213793103448276,0.0,0.27862068965517245,0.0
166,0.0,0.0,1.0,0.0
167,0.0,0.2859486057955167,0.14215418261344995,0.5718972115910333
168,0.8381410256410257,0.0,0.16185897435897434,0.0
169,0.0,0.0,0.0,0.0
170,0.0,0.0,1.0,0.0
171,0.0,0.0,1.0,0.0
172,0.0,0.0,0.0,0.0
173,0.0,0.0,1.0,0.0
174,0.0,0.0,0.0,0.0
175,0.0,0.0,0.0,0.0
176,0.0,0.0,0.3832547169811321,0.616745283018868
177,0.8381410256410257,0.0,0.16185897435897434,0.0
178,0.0,0.0,1.0,0.0
179,0.0,0.0,1.0,0.0
180,0.0,0.0,1.0,0.0
181,0.0,0.0,1.0,0.0
182,0.6733916695141458,0.2615867639266489,0.06502156655920528,0.0
183,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0
185,0.0,0.0,1.0,0.0
186,0.0,0.8009188361408882,0.19908116385911176,0.0
187,0.0,0.6679438058748404,0.3320561941251596,0.0
188,0.0,0.0,0.11054421768707483,0.8894557823129252
189,0.0,0.8009188361408882,0.19908116385911176,0.0
190,0.46228743549121865,0.35916177680471606,0.17855078770406532,0.0
191,0.22252259918440015,0.3457658848865295,0.08594563104254078,0.3457658848865295
192,0.6331719128329298,0.0,0.36682808716707027,0.0
193,0.0,0.0,0.0,0.0
194,0.0,1.0,0.0,0.0
195,0.0,0.0,1.0,0.0
196,0.0,0.0,0.0,1.0
197,0.0,0.0,0.11054421768707483,0.8894557823129252
198,1.0,0.0,0.0,0.0
199,0.4420978025157764,0.17173799251574393,0.042688219936991796,0.34347598503148785
200,0.0,0.0,1.0,0.0
