ID,бизнес,культура,медиа,наука_и_техника,общество_и_путешествия,политика,происшествия,силовые_структуры,спорт,экономика_и_финансы
131,1.0,98.0,47.0,20.0,291.0,164.0,4.0,22.0,37.0,82.0
132,2.0,54.0,23.0,19.0,214.0,116.0,7.0,11.0,32.0,64.0
133,4.0,139.0,38.0,34.0,349.0,198.0,10.0,27.0,59.0,142.0
134,4.0,273.0,98.0,47.0,915.0,437.0,6.0,50.0,134.0,287.0
135,12.0,478.0,173.0,126.0,1520.0,773.0,6.0,88.0,313.0,482.0
136,15.0,452.0,146.0,132.0,1508.0,678.0,9.0,81.0,290.0,358.0
137,20.0,471.0,184.0,123.0,1554.0,801.0,9.0,84.0,278.0,397.0
138,8.0,491.0,194.0,95.0,1247.0,723.0,9.0,84.0,287.0,310.0
139,6.0,328.0,141.0,81.0,1040.0,563.0,7.0,72.0,317.0,247.0
140,4.0,269.0,121.0,66.0,958.0,564.0,9.0,51.0,301.0,206.0
141,5.0,187.0,87.0,45.0,695.0,419.0,10.0,32.0,258.0,133.0
142,1.0,142.0,74.0,27.0,440.0,253.0,12.0,32.0,134.0,75.0
143,0.0,61.0,33.0,26.0,268.0,202.0,6.0,14.0,69.0,55.0
144,1.0,53.0,34.0,18.0,277.0,127.0,4.0,8.0,41.0,72.0
145,6.0,115.0,50.0,43.0,436.0,192.0,2.0,23.0,57.0,128.0
146,6.0,206.0,92.0,62.0,888.0,414.0,5.0,39.0,142.0,264.0
147,11.0,403.0,163.0,104.0,1395.0,659.0,14.0,78.0,259.0,416.0
148,9.0,453.0,166.0,130.0,1449.0,590.0,14.0,74.0,298.0,410.0
149,9.0,398.0,160.0,130.0,1490.0,673.0,10.0,78.0,272.0,369.0
150,4.0,333.0,181.0,73.0,1180.0,639.0,8.0,91.0,271.0,316.0
151,4.0,292.0,170.0,64.0,1086.0,566.0,6.0,67.0,251.0,254.0
152,2.0,224.0,152.0,54.0,888.0,438.0,8.0,57.0,278.0,212.0
153,4.0,163.0,141.0,37.0,737.0,367.0,8.0,50.0,302.0,157.0
154,4.0,141.0,90.0,35.0,563.0,283.0,12.0,41.0,189.0,157.0
155,11.0,80.0,41.0,26.0,366.0,215.0,4.0,17.0,56.0,132.0
156,8.0,109.0,57.0,40.0,532.0,234.0,3.0,27.0,73.0,144.0
157,24.0,275.0,88.0,80.0,1113.0,489.0,7.0,64.0,142.0,375.0
158,34.0,451.0,209.0,155.0,1904.0,778.0,10.0,89.0,253.0,779.0
159,42.0,460.0,159.0,175.0,1873.0,758.0,3.0,107.0,278.0,781.0
160,52.0,535.0,182.0,139.0,1639.0,658.0,2.0,84.0,230.0,708.0
161,50.0,586.0,151.0,168.0,1887.0,677.0,1.0,80.0,271.0,740.0
162,48.0,547.0,219.0,111.0,1973.0,783.0,4.0,104.0,250.0,702.0
163,33.0,604.0,166.0,130.0,1912.0,770.0,2.0,119.0,281.0,714.0
164,27.0,478.0,168.0,157.0,1814.0,711.0,1.0,113.0,310.0,557.0
165,4.0,275.0,121.0,94.0,1112.0,488.0,3.0,68.0,228.0,365.0
166,2.0,159.0,115.0,47.0,598.0,339.0,4.0,44.0,113.0,239.0
167,3.0,87.0,59.0,39.0,456.0,262.0,0.0,38.0,63.0,144.0
168,10.0,113.0,72.0,45.0,561.0,225.0,2.0,33.0,58.0,218.0
169,37.0,247.0,104.0,94.0,1198.0,446.0,2.0,76.0,108.0,498.0
170,42.0,438.0,190.0,174.0,1798.0,796.0,3.0,105.0,185.0,929.0
171,52.0,491.0,174.0,156.0,1875.0,777.0,4.0,116.0,216.0,826.0
172,46.0,491.0,134.0,147.0,1734.0,661.0,1.0,110.0,226.0,669.0
173,32.0,592.0,152.0,170.0,1875.0,718.0,1.0,108.0,184.0,746.0
174,35.0,568.0,156.0,153.0,1956.0,838.0,1.0,94.0,204.0,737.0
175,40.0,608.0,221.0,202.0,1788.0,844.0,1.0,124.0,223.0,648.0
176,24.0,416.0,173.0,144.0,1821.0,810.0,0.0,75.0,217.0,571.0
177,8.0,246.0,121.0,90.0,1106.0,480.0,1.0,82.0,183.0,355.0
178,7.0,159.0,98.0,59.0,742.0,343.0,6.0,54.0,139.0,241.0
179,4.0,85.0,55.0,36.0,449.0,243.0,10.0,34.0,50.0,158.0
180,5.0,129.0,60.0,56.0,580.0,255.0,5.0,23.0,73.0,230.0
181,26.0,266.0,114.0,132.0,1092.0,458.0,7.0,56.0,146.0,456.0
182,33.0,472.0,145.0,174.0,1889.0,801.0,8.0,88.0,246.0,838.0
183,35.0,455.0,153.0,213.0,1942.0,723.0,25.0,98.0,214.0,852.0
184,42.0,491.0,142.0,183.0,1802.0,645.0,6.0,92.0,199.0,728.0
185,39.0,500.0,142.0,154.0,1838.0,626.0,4.0,83.0,221.0,687.0
186,47.0,534.0,250.0,170.0,1912.0,739.0,20.0,94.0,237.0,761.0
187,48.0,519.0,232.0,183.0,1916.0,762.0,14.0,102.0,228.0,693.0
188,28.0,500.0,219.0,145.0,1789.0,897.0,3.0,89.0,272.0,611.0
189,12.0,249.0,181.0,111.0,1185.0,494.0,9.0,61.0,208.0,308.0
190,6.0,118.0,104.0,55.0,659.0,291.0,22.0,26.0,128.0,211.0
191,8.0,102.0,56.0,38.0,457.0,212.0,7.0,19.0,92.0,167.0
192,12.0,133.0,56.0,41.0,623.0,217.0,6.0,39.0,61.0,191.0
193,41.0,273.0,138.0,108.0,1160.0,409.0,2.0,62.0,124.0,479.0
194,39.0,414.0,182.0,165.0,1933.0,718.0,10.0,78.0,245.0,866.0
195,43.0,480.0,170.0,184.0,1989.0,700.0,2.0,60.0,214.0,818.0
196,70.0,489.0,150.0,161.0,1819.0,605.0,1.0,77.0,206.0,675.0
197,39.0,544.0,143.0,159.0,2029.0,687.0,4.0,77.0,215.0,650.0
198,38.0,594.0,123.0,170.0,2001.0,783.0,1.0,66.0,188.0,769.0
199,60.0,582.0,115.0,170.0,2019.0,769.0,21.0,76.0,264.0,611.0
200,39.0,470.0,146.0,162.0,2169.0,717.0,25.0,60.0,210.0,562.0
201,10.0,264.0,131.0,92.0,1593.0,429.0,13.0,58.0,241.0,274.0
202,8.0,145.0,63.0,45.0,864.0,249.0,18.0,25.0,139.0,177.0
203,11.0,90.0,29.0,33.0,567.0,156.0,7.0,25.0,66.0,151.0
204,21.0,124.0,42.0,48.0,673.0,177.0,4.0,23.0,57.0,175.0
205,34.0,260.0,91.0,121.0,1218.0,426.0,7.0,59.0,135.0,448.0
206,45.0,447.0,138.0,143.0,2059.0,729.0,11.0,93.0,197.0,840.0
207,49.0,504.0,133.0,154.0,2086.0,670.0,0.0,79.0,204.0,789.0
208,39.0,583.0,153.0,143.0,1849.0,653.0,1.0,68.0,183.0,677.0
209,39.0,625.0,162.0,155.0,1946.0,700.0,0.0,72.0,205.0,670.0
210,51.0,641.0,151.0,165.0,2005.0,717.0,1.0,62.0,213.0,716.0
211,42.0,579.0,137.0,192.0,1856.0,780.0,23.0,136.0,204.0,711.0
212,17.0,491.0,185.0,181.0,1806.0,744.0,6.0,68.0,207.0,551.0
213,16.0,316.0,121.0,109.0,1181.0,470.0,5.0,46.0,214.0,295.0
214,4.0,192.0,68.0,55.0,627.0,268.0,4.0,20.0,121.0,172.0
215,3.0,86.0,44.0,33.0,353.0,157.0,3.0,14.0,52.0,79.0
216,4.0,71.0,45.0,41.0,307.0,178.0,3.0,12.0,39.0,105.0
217,6.0,138.0,59.0,65.0,597.0,233.0,8.0,16.0,65.0,153.0
218,6.0,317.0,142.0,127.0,1216.0,453.0,12.0,64.0,161.0,376.0
219,12.0,509.0,170.0,203.0,1750.0,627.0,17.0,119.0,218.0,487.0
220,13.0,473.0,163.0,179.0,1663.0,513.0,12.0,99.0,227.0,418.0
221,10.0,397.0,172.0,148.0,1697.0,551.0,11.0,109.0,204.0,384.0
222,9.0,415.0,158.0,94.0,1509.0,536.0,10.0,91.0,245.0,374.0
223,13.0,366.0,133.0,96.0,1284.0,456.0,5.0,76.0,293.0,264.0
224,9.0,277.0,154.0,73.0,1027.0,465.0,9.0,67.0,279.0,231.0
225,2.0,223.0,98.0,51.0,850.0,361.0,8.0,53.0,260.0,126.0
226,1.0,115.0,68.0,38.0,515.0,216.0,6.0,18.0,146.0,94.0
227,3.0,92.0,31.0,24.0,299.0,162.0,4.0,36.0,48.0,66.0
228,2.0,55.0,37.0,20.0,293.0,125.0,4.0,42.0,54.0,67.0
229,6.0,122.0,59.0,50.0,493.0,209.0,2.0,44.0,73.0,128.0
230,8.0,228.0,129.0,109.0,1007.0,437.0,5.0,63.0,229.0,241.0
231,16.0,455.0,206.0,138.0,1667.0,687.0,12.0,94.0,309.0,377.0
232,12.0,483.0,176.0,141.0,1537.0,604.0,12.0,89.0,275.0,325.0
233,9.0,376.0,151.0,87.0,1523.0,569.0,14.0,83.0,247.0,309.0
234,5.0,309.0,126.0,86.0,1480.0,549.0,8.0,71.0,252.0,272.0
235,6.0,283.0,126.0,92.0,1314.0,475.0,8.0,72.0,281.0,237.0
236,6.0,254.0,128.0,86.0,1121.0,392.0,8.0,53.0,275.0,188.0
237,2.0,213.0,123.0,78.0,892.0,309.0,7.0,51.0,266.0,160.0
238,3.0,137.0,94.0,41.0,470.0,241.0,5.0,37.0,124.0,145.0
239,4.0,104.0,93.0,33.0,436.0,169.0,4.0,44.0,58.0,139.0
240,15.0,131.0,69.0,34.0,599.0,177.0,9.0,67.0,77.0,209.0
241,24.0,304.0,112.0,107.0,1172.0,415.0,6.0,62.0,180.0,471.0
