,lvl1_медиа,lvl1_наука_и_техника,lvl1_общество_и_путешествия,lvl1_политика,lvl1_происшествия,lvl1_экономика_и_финансы,,lvl1_культура,lvl1_бизнес,lvl1_спорт,lvl1_силовые_структуры
151,170,64,1086,566,6.0,254,322,292,4.0,251,67
152,152,54,888,438,8.0,212,334,224,2.0,278,57
153,141,37,737,367,8.0,157,243,163,4.0,302,50
154,90,35,563,283,12.0,157,145,141,4.0,189,41
155,41,26,366,215,4.0,132,84,80,11.0,56,17
156,57,40,532,234,3.0,144,96,109,8.0,73,27
157,88,80,1113,489,7.0,375,197,275,24.0,142,64
158,250,198,2390,980,12.0,1032,416,560,42.0,338,118
159,341,399,3872,1542,5.0,1615,1182,1046,81.0,545,221
160,486,387,4579,1771,3.0,1866,2129,1465,114.0,683,238
161,347,330,4133,1505,1.0,1642,659,1286,82.0,586,209
162,399,257,3835,1522,5.0,1375,540,1075,89.0,524,209
163,251,188,2943,1137,3.0,1050,456,860,64.0,461,180
164,168,157,1814,711,1.0,557,379,478,27.0,310,113
165,121,94,1112,488,3.0,365,298,275,4.0,228,68
166,115,47,598,339,4.0,239,148,159,2.0,113,44
167,59,39,456,262,0.0,144,70,87,3.0,63,38
168,72,45,561,225,2.0,218,76,113,10.0,58,33
169,104,94,1198,446,2.0,498,178,247,37.0,108,76
170,242,220,2412,1080,3.0,1214,443,566,48.0,256,134
171,341,332,3886,1570,5.0,1670,1124,977,101.0,460,232
172,362,405,4421,1653,7.0,1632,1807,1186,96.0,546,282
173,334,363,3904,1614,3.0,1515,749,1141,62.0,384,231
174,315,260,3405,1474,3.0,1297,474,1031,68.0,369,178
175,294,259,2542,1162,1.0,871,433,791,55.0,306,166
176,173,144,1821,810,0.0,571,448,416,24.0,217,75
177,121,90,1106,480,1.0,355,361,246,8.0,183,82
178,98,59,742,343,6.0,241,186,159,7.0,139,54
179,55,36,449,243,10.0,158,76,85,4.0,50,34
180,60,56,580,255,5.0,230,91,129,5.0,73,23
181,114,132,1092,458,7.0,456,197,266,26.0,146,56
182,204,238,2528,1092,9.0,1179,428,646,40.0,352,126
183,310,432,4177,1590,29.0,1733,1220,1093,69.0,511,195
184,374,488,4770,1668,29.0,1889,1905,1311,120.0,564,203
185,364,345,4246,1505,19.0,1616,999,1214,94.0,510,199
186,466,307,3736,1433,23.0,1423,485,1043,103.0,458,200
187,340,273,2904,1160,15.0,1041,451,800,66.0,369,169
188,226,146,1826,916,3.0,623,464,508,29.0,277,90
189,181,111,1185,494,9.0,308,348,249,12.0,208,61
190,104,55,659,291,22.0,211,191,118,6.0,128,26
191,56,38,457,212,7.0,167,89,102,8.0,92,19
192,56,41,623,217,6.0,191,95,133,12.0,61,39
193,138,108,1160,409,2.0,479,219,273,41.0,124,62
194,249,227,2669,1055,13.0,1216,456,586,62.0,354,111
195,359,441,4405,1549,20.0,1729,1125,1087,107.0,492,156
196,374,424,4831,1757,12.0,1851,1971,1353,162.0,576,200
197,306,344,4439,1598,22.0,1508,744,1285,88.0,468,172
198,252,320,4013,1495,22.0,1547,521,1198,82.0,353,143
199,191,273,3291,1190,26.0,1016,548,902,97.0,426,110
200,166,175,2350,780,25.0,608,477,498,40.0,245,65
201,131,92,1593,429,13.0,274,359,264,10.0,241,58
202,63,45,864,249,18.0,177,189,145,8.0,139,25
203,29,33,567,156,7.0,151,84,90,11.0,66,25
204,42,48,673,177,4.0,175,97,124,21.0,57,23
205,91,121,1218,426,7.0,448,182,260,34.0,135,59
206,191,195,2887,1006,11.0,1127,412,616,63.0,279,121
207,290,375,4539,1426,15.0,1721,1361,1207,116.0,474,186
208,420,381,4874,1694,31.0,1899,1854,1586,125.0,516,187
209,335,359,4251,1528,18.0,1506,713,1356,109.0,463,150
210,302,330,3820,1465,23.0,1407,583,1261,111.0,401,125
211,212,323,2927,1256,27.0,1056,506,945,60.0,324,187
212,185,181,1806,744,6.0,551,386,491,17.0,207,68
213,121,109,1181,470,5.0,295,342,316,16.0,214,46
214,68,55,627,268,4.0,172,188,192,4.0,121,20
215,44,33,353,157,3.0,79,73,86,3.0,52,14
216,45,41,307,178,3.0,105,75,71,4.0,39,12
217,59,65,597,233,8.0,153,141,138,6.0,65,16
218,142,127,1216,453,12.0,376,326,317,6.0,161,64
219,177,218,1867,669,17.0,521,1005,570,13.0,235,132
220,217,235,2161,674,12.0,540,1695,642,23.0,296,141
221,172,148,1697,551,11.0,384,505,397,10.0,204,109
222,158,94,1509,536,10.0,374,373,415,9.0,245,91
223,133,96,1284,456,5.0,264,335,366,13.0,293,76
224,154,73,1027,465,9.0,231,338,277,9.0,279,67
225,98,51,850,361,8.0,126,306,223,2.0,260,53
226,68,38,515,216,6.0,94,144,115,1.0,146,18
227,31,24,299,162,4.0,66,84,92,3.0,48,36
228,37,20,293,125,4.0,67,70,55,2.0,54,42
229,59,50,493,209,2.0,128,151,122,6.0,73,44
